train validation
1.9364558207361322 1.929939365386963
1.924829457935534 1.9191826581954956
1.9148022752059133 1.909805679321289
1.905575626774838 1.8819823026657105
1.8835449532458657 1.8736851453781127
1.8756523069582487 1.8672046899795531
1.8655989421041388 1.8571715116500855
1.8352650278492977 1.8581900119781494
1.8231559238935773 1.8037589550018311
1.7921933751357229 1.7865155220031739
1.7304933447586863 1.7348782062530517
1.7711857620038485 1.7617841958999634
1.755006520371688 1.7195796251296998
1.7083605716103 1.7223930597305297
1.7048151806781167 1.707165265083313
1.6670518799831993 1.681560468673706
1.696680828144676 1.7354809045791626
1.7032548189163208 1.6714251041412354
1.6704829994000887 1.6984159231185914
1.6725264662190487 1.6806257486343383
1.690824402006049 1.7053041458129883
1.686256490255657 1.6861618757247925
1.7002970482173718 1.6448659420013427
1.6858347654342651 1.6963985204696654
1.6666016390449123 1.7004353523254394
1.649451472257313 1.6430220127105712
1.673383725316901 1.6787572860717774
1.6381632528806989 1.620943021774292
1.6804445731012445 1.6434318542480468
1.6523937677082263 1.6713104248046875
1.654919800005461 1.6599053382873534
1.6814649669747603 1.708039355278015
1.683251186421043 1.657950186729431
1.6594930008838051 1.623094630241394
1.661365126308642 1.664453673362732
1.6369604813425165 1.6250897884368896
1.6511212901065224 1.6511368036270142
1.6854629516601562 1.7134696245193481
1.649106973095944 1.6139688968658448
1.6634786379964728 1.688414454460144
1.6591640961797613 1.6779974699020386
1.6418012443341707 1.7136943817138672
1.666193215470565 1.6613457202911377
1.6619877125087537 1.6474699974060059
1.6484069259543168 1.7056590557098388
1.6338660528785305 1.7251416206359864
1.62958656486712 1.6442716598510743
1.6586828169069792 1.620851421356201
1.6309725548091687 1.6564191102981567
1.6618128889485408 1.6316900730133057
1.6605637951901084 1.6716157913208007
1.6696361052362543 1.7065955877304078
1.6546158539621454 1.6002296209335327
1.6560056397789402 1.7009087562561036
1.6427390387183742 1.6500772476196288
1.6263905951851292 1.68583083152771
1.6703287049343711 1.6634661912918092
1.6519658941971629 1.673275923728943
1.6585631935220015 1.657456922531128
1.648778902856927 1.6667404890060424
1.6451342294090672 1.682096815109253
1.627230587758516 1.6904587507247926
1.610704503561321 1.6650026559829711
1.610883182600925 1.661855149269104
1.653203851298282 1.6404282331466675
1.6654193275853206 1.6676113605499268
1.6745436317042302 1.677952027320862
1.654086614909925 1.6632265090942382
1.6520322686747502 1.6145262479782105
1.622665612321151 1.6798535108566284
1.6672098009209884 1.6690964937210082
1.644827635664689 1.670304799079895
1.6554461968572516 1.6680044174194335
1.680796372263055 1.7037724018096925
1.64908294301284 1.6353943586349486
1.6492960076583059 1.5974591016769408
1.6666046380996704 1.6212361812591554
1.6753996045965898 1.6186746597290038
1.6767715780358565 1.6609867334365844
