train validation
1.9515498479207356 1.9233671426773071
1.9607652028401692 1.9373304446538289
1.9484498500823975 1.9332521359125774
1.946698784828186 1.9342868725458782
1.9156914949417114 1.8916131258010864
1.9314369757970173 1.9432416359583538
1.9050941467285156 1.8796042601267497
1.9115781386693318 1.9171295563379924
1.8897146383921306 1.890720804532369
1.9160044987996419 1.8793952067693074
1.8849945863087971 1.90000585714976
1.8745933373769124 1.8767421245574951
1.8396466573079426 1.9294715722401936
1.8626412153244019 1.9160887400309246
1.9127120971679688 1.8536567290623982
1.8584310213724773 1.8912925322850545
1.836242953936259 1.8758124510447185
1.7633423805236816 1.8420317967732747
1.8341620763142903 1.8840561707814534
1.7063663005828857 1.7135688066482544
