train validation
1.8195430040359497 1.7819169759750366
1.7952312231063843 1.7599371671676636
1.7621878385543823 1.7306747436523438
1.7259563207626343 1.712240219116211
1.7029263973236084 1.7006312608718872
1.6862066984176636 1.692569375038147
1.6733298301696777 1.6873399019241333
1.6635643243789673 1.6840437650680542
1.6560407876968384 1.6820200681686401
1.6503088474273682 1.6808210611343384
1.645776629447937 1.6800661087036133
1.6419683694839478 1.679663062095642
1.6385191679000854 1.6793745756149292
1.6355092525482178 1.6788264513015747
1.6329094171524048 1.6776701211929321
1.6305052042007446 1.6762561798095703
1.6281927824020386 1.6742973327636719
1.6256128549575806 1.6719383001327515
1.6228415966033936 1.6695008277893066
1.61993408203125 1.662959098815918
1.6148264408111572 1.6548360586166382
1.6091901063919067 1.6481904983520508
1.6045001745224 1.6428903341293335
1.600378394126892 1.6378421783447266
1.5964102745056152 1.6331000328063965
1.592609167098999 1.6288472414016724
1.5890787839889526 1.6249734163284302
1.585613489151001 1.6213124990463257
1.582346796989441 1.6177490949630737
1.579193353652954 1.6143388748168945
1.5761619806289673 1.6111100912094116
1.5732861757278442 1.6080888509750366
1.5704983472824097 1.605305790901184
1.5677745342254639 1.6026519536972046
1.5651105642318726 1.600124716758728
1.5625369548797607 1.5977274179458618
1.5600157976150513 1.5954399108886719
1.5575605630874634 1.5932704210281372
1.5551456212997437 1.591218113899231
1.5527592897415161 1.5892544984817505
1.5503952503204346 1.5873312950134277
1.5480587482452393 1.5854448080062866
1.545742154121399 1.5836261510849
1.543433427810669 1.5818508863449097
1.5411368608474731 1.5799899101257324
1.5388758182525635 1.5782318115234375
1.5366363525390625 1.576433539390564
1.5343708992004395 1.5746513605117798
1.5321121215820312 1.5728451013565063
1.5298609733581543 1.5711294412612915
1.5276035070419312 1.5693612098693848
1.5253463983535767 1.5676683187484741
1.5230920314788818 1.5659555196762085
1.5208414793014526 1.564112663269043
1.518604040145874 1.5623372793197632
1.5163813829421997 1.5605705976486206
1.514175534248352 1.5587396621704102
1.511962890625 1.5569568872451782
1.5097485780715942 1.5551981925964355
1.5075360536575317 1.55328369140625
1.505332112312317 1.5515437126159668
1.5031335353851318 1.5497827529907227
1.5009162425994873 1.5479615926742554
1.4987133741378784 1.5462547540664673
1.4965091943740845 1.544376015663147
1.4942997694015503 1.5428171157836914
1.4921144247055054 1.5412039756774902
1.4899028539657593 1.5394712686538696
1.4876760244369507 1.5377718210220337
1.4854397773742676 1.53593111038208
1.4831985235214233 1.5342153310775757
1.4809473752975464 1.5323761701583862
1.478684902191162 1.5306382179260254
1.476420283317566 1.528795838356018
1.4741610288619995 1.5270646810531616
1.4719198942184448 1.5251965522766113
1.4697012901306152 1.5233885049819946
1.467481255531311 1.5217366218566895
1.4652924537658691 1.520158290863037
1.4631311893463135 1.5185168981552124
1.4609683752059937 1.5167189836502075
1.4587477445602417 1.5149383544921875
1.4565433263778687 1.5133146047592163
1.4543592929840088 1.5117040872573853
1.4521713256835938 1.5101279020309448
1.4499794244766235 1.508826732635498
1.4476871490478516 1.507646083831787
1.4455164670944214 1.5064870119094849
1.44341242313385 1.5052183866500854
1.44133722782135 1.5034433603286743
1.4390109777450562 1.5023061037063599
1.436759352684021 1.500710129737854
1.4340959787368774 1.498605728149414
1.4309388399124146 1.4962915182113647
1.4270790815353394 1.4931367635726929
1.422461986541748 1.490486741065979
1.4181941747665405 1.4882663488388062
1.4142708778381348 1.48619544506073
1.4104974269866943 1.4842420816421509
1.4068514108657837 1.4824589490890503
1.4033070802688599 1.48141610622406
